trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13420020,83,1,OUTBOUND-WHARTON SQ VIA OAKLAND,,0,192433702,shp-83-51,1,1
4628020,60,1,OUTBOUND-WALNUT-CRAWFORD VILLAGE,,0,192418602,shp-60-01,1,1
6384070,71A,2,OUTBOUND-HIGHLAND PARK,,0,192668407,shp-71A-53,1,1
12473020,56,1,OUTBOUND-PENN STATE MCKEESPORT,,0,192438802,shp-56-01,1,1
8504020,P68,1,INBOUND-DOWNTOWN,,1,192610402,shp-P68-17,1,1
6937080,88,3,INBOUND-DOWNTOWN,,1,192920808,shp-88-09,1,1
9694080,48,3,INBOUND-DOWNTOWN,,1,192883308,shp-48-07,1,1
1937020,1,1,INBOUND-DOWNTOWN,,1,193153302,shp-1-10,1,1
10738020,8,1,OUTBOUND-WEST VIEW,,0,193159602,shp-8-63,1,1
13666010,61A,4,OUTBOUND-NORTH BRADDOCK VIA OAKLAND-SQ HILL,,0,192499801,shp-61A-51,1,1
9551070,12,2,INBOUND-DOWNTOWN,,1,193305307,shp-12-01,1,1
9535070,24,2,INBOUND-DOWNTOWN,,1,192739107,shp-24-01,1,1
239080,74,3,INBOUND-EAST LIBERTY,,1,192912608,shp-74-02,1,1
10570020,43,1,INBOUND-DOWNTOWN,,1,192723202,shp-43-07,1,1
2416010,40,4,OUTBOUND-MOUNT WASHINGTON,,0,193277201,shp-40-55,1,1
5731020,51,1,INBOUND-DOWNTOWN,,1,192432902,shp-51-01,1,1
10105020,24,1,INBOUND-DOWNTOWN,,1,192717702,shp-24-01,1,1
10436020,61D,1,OUTBOUND-WATERFRONT VIA SQUIRREL HILL,,0,192451102,shp-61D-51,1,1
38080,15,3,OUTBOUND-NORTH VIEW HEIGHTS - SUMMER HILL,,0,193290408,shp-15-51,1,1
13133010,75,4,INBOUND-SOUTH SIDE WORKS VIA OAKLAND,,1,192695001,shp-75-02,1,1
8368070,71C,2,INBOUND-OAKLAND,,1,192664407,shp-71C-08,1,1
736010,56,4,INBOUND-DOWNTOWN,,1,192492001,shp-56-13,1,1
8080020,71C,1,INBOUND-OAKLAND,,1,192618802,shp-71C-08,1,1
1068070,61A,2,OUTBOUND-NORTH BRADDOCK VIA OAKLAND-SQ HILL,,0,192477807,shp-61A-51,1,1
13633020,13,1,INBOUND-DOWNTOWN,,1,193129102,shp-13-15,1,1
7103010,61B,4,INBOUND-DOWNTOWN,,1,192490501,shp-61B-01,1,1
4655010,71C,4,INBOUND-OAKLAND,,1,192693001,shp-71C-08,1,1
11026020,G3,1,OUTBOUND-MOON FLYER,,0,192710902,shp-G3-57,1,1
8502020,51,1,INBOUND-DOWNTOWN,,1,192439302,shp-51-01,1,1
1785080,2,3,INBOUND-DOWNTOWN VIA MILLVALE,,1,193286008,shp-2-02,1,1
7882020,2,1,INBOUND-DOWNTOWN VIA MILLVALE,,1,193129402,shp-2-01,1,1
13616070,75,2,INBOUND-SOUTH SIDE WORKS VIA OAKLAND,,1,192673207,shp-75-02,1,1
929020,21,1,INBOUND-DOWNTOWN,,1,192714602,shp-21-14,1,1
10597020,27,1,OUTBOUND-CRAFTON-INGRAM SHOPPING CENTER,,0,192719702,shp-27-51,1,1
12727020,71B,1,INBOUND-DOWNTOWN,,1,192644102,shp-71B-02,1,1
14047020,67,1,INBOUND-DOWNTOWN VIA OAKLAND-SQ HILL,,1,192630402,shp-67-04,1,1
2218070,61A,2,INBOUND-DOWNTOWN,,1,192475507,shp-61A-01,1,1
13362010,13,4,INBOUND-DOWNTOWN,,1,193275301,shp-13-15,1,1
8824020,44,1,OUTBOUND-NORTH BALDWIN,,0,192724802,shp-44-17,1,1
6188020,16,1,OUTBOUND-AVALON LOOP,,0,193169702,shp-16-56,1,1
10726010,51,4,OUTBOUND-BRENTWOOD LOOP ,,0,192486701,shp-51-70,1,1
9520020,P76,1,INBOUND-DOWNTOWN,,1,192418802,shp-P76-23,1,1
7771010,71B,4,INBOUND-DOWNTOWN,,1,192683001,shp-71B-02,1,1
10087010,11,4,OUTBOUND-DOWNTOWN,,0,193264001,shp-11-01,1,1
5074020,P1,1,INBOUND-DOWNTOWN,,1,192616202,shp-P1-09,1,1
4338020,13,1,OUTBOUND-WEST VIEW,,0,193128902,shp-13-70,1,1
10671020,77,1,INBOUND-DOWNTOWN,,1,192622802,shp-77-01,1,1
3941070,G2,2,INBOUND-DOWNTOWN,,1,192740007,shp-G2-04,1,1
3089010,12,4,INBOUND-DOWNTOWN,,1,193272801,shp-12-01,1,1
8773020,12,1,OUTBOUND-DOWNTOWN,,0,193164002,shp-12-52,1,1
5069070,59,2,INBOUND-CENTURY III,,1,192463307,shp-59-01,1,1
10794080,82,3,OUTBOUND-LINCOLN,,0,192919308,shp-82-59,1,1
6178010,61B,4,INBOUND-DOWNTOWN,,1,192498401,shp-61B-02,1,1
9708020,61C,1,INBOUND-PITTSBURGH VIA OAKLAND,,1,192449302,shp-61C-01,1,1
9013020,17,1,OUTBOUND-SHADELAND,,0,193169902,shp-17-10,1,1
10051070,58,2,INBOUND-DOWNTOWN,,1,192666707,shp-58-01,1,1
3475020,40,1,INBOUND-DOWNTOWN,,1,193168702,shp-40-07,1,1
8652020,P7,1,OUTBOUND-MCKEESPORT,,0,192420302,shp-P7-10,1,1
6943010,P1,4,INBOUND-DOWNTOWN,,1,192681801,shp-P1-09,1,1
779070,14,2,OUTBOUND-AMBRIDGE,,0,193310207,shp-14-01,1,1
13775010,57,4,OUTBOUND-WATERFRONT,,0,192496901,shp-57-51,1,1
7246020,22,1,INBOUND-DOWNTOWN,,1,192707402,shp-22-06,1,1
6435080,61C,3,INBOUND-PITTSBURGH VIA OAKLAND,,1,192787808,shp-61C-01,1,1
